date,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone,temp,humidity,wind_speed,aqi_pm25,aqi_pm10,aqi,month,day,day_of_week,pm2_5_lag_1d,pm2_5_lag_2d,aqi_lag_1d
2024-01-03,40.72,64.11,28.08,21.95,677.54,96.58,20.75,55.04,10.48,114,56,114,1,3,2,40.39,38.56,113
2024-01-04,38.77,61.87,16.5,15.97,495.83,106.29,19.9,45.0,17.06,109,54,109,1,4,3,40.72,40.39,114
2024-01-05,53.94,90.04,21.82,19.75,642.0,100.96,19.31,52.29,12.22,146,68,146,1,5,4,38.77,40.72,109
2024-01-06,47.54,76.74,14.2,18.46,633.21,106.88,19.72,53.12,19.18,131,62,131,1,6,5,53.94,38.77,146
2024-01-07,43.48,66.77,12.95,20.59,692.12,111.21,19.15,51.71,18.29,121,57,121,1,7,6,47.54,53.94,131
2024-01-08,44.36,67.23,28.92,22.26,914.12,104.38,19.18,55.08,12.01,123,57,123,1,8,0,43.48,47.54,121
2024-01-09,37.12,58.91,13.8,16.68,622.96,103.38,18.99,48.33,18.76,105,53,105,1,9,1,44.36,43.48,123
2024-01-10,37.12,56.47,18.86,19.7,656.5,101.83,18.26,45.71,14.03,105,52,105,1,10,2,37.12,44.36,105
2024-01-11,33.21,50.49,36.54,22.67,842.88,74.88,17.83,50.04,9.18,95,47,95,1,11,3,37.12,37.12,105
2024-01-12,37.01,55.14,54.25,27.95,866.38,59.42,18.42,49.96,9.14,105,51,105,1,12,4,33.21,37.12,95
2024-01-13,34.01,53.77,49.01,13.92,840.04,52.62,18.43,76.12,9.43,97,50,97,1,13,5,37.01,33.21,105
2024-01-14,29.63,60.12,41.17,14.54,662.88,71.71,20.47,79.62,8.04,88,54,88,1,14,6,34.01,37.01,97
2024-01-15,54.85,99.8,35.49,18.89,819.88,80.83,19.54,71.71,9.66,149,73,149,1,15,0,29.63,34.01,88
2024-01-16,25.31,67.37,28.73,7.27,438.42,66.42,22.2,78.17,12.27,79,57,79,1,16,1,54.85,29.63,149
2024-01-17,46.78,88.85,31.68,20.24,687.29,80.17,22.08,57.96,13.95,129,68,129,1,17,2,25.31,54.85,79
2024-01-18,61.12,96.7,26.12,25.98,871.42,111.96,20.62,51.71,11.89,154,72,154,1,18,3,46.78,25.31,129
2024-01-19,54.07,86.82,46.93,30.67,1053.54,100.71,20.06,48.92,10.35,147,67,147,1,19,4,61.12,46.78,154
2024-01-20,55.86,93.49,49.95,22.88,1182.25,89.0,20.42,78.04,8.49,151,70,151,1,20,5,54.07,61.12,147
2024-01-21,50.72,86.92,53.51,24.52,1013.38,80.42,21.13,62.38,10.5,138,67,138,1,21,6,55.86,54.07,151
2024-01-22,52.31,90.92,48.75,20.53,1023.21,79.71,20.18,66.33,9.55,142,69,142,1,22,0,50.72,55.86,138
2024-01-23,42.88,80.89,34.48,16.95,659.17,79.79,20.6,68.62,10.06,119,64,119,1,23,1,52.31,50.72,142
2024-01-24,54.45,98.59,35.0,27.28,828.96,88.71,18.76,59.92,9.54,148,73,148,1,24,2,42.88,52.31,119
